"","ID_RELACION","ID_ESCUELA","CODIGO_COMUNA","LATITUD","LONGITUD"
"7153",NA,12118,13501,"-33.6794760","-71.2271060"
"7154",NA,12119,13501,"-33.6823800","-71.2196960"
"7155",NA,12121,13201,"-33.5785210","-70.5823870"
"7156",NA,12122,13124,"-33.4454220","-70.7629280"
"7157",NA,12126,13112,"-33.5867490","-70.6195950"
"7158",NA,12130,13101,"-33.4666500","-70.6723980"
"7159",NA,12133,13120,"-33.4638610","-70.6003680"
"7160",NA,12136,13121,"-33.5056340","-70.6707840"
"7161",NA,12143,13131,"-33.5403700","-70.6458300"
"7162",NA,12146,5101,"-33.0464480","-71.6204400"
"7163",NA,12151,5109,"-32.9974700","-71.4895390"
"7164",NA,12153,5109,"-33.0305630","-71.5426370"
"7165",NA,12157,5801,"-33.0503800","-71.4364100"
"7166",NA,12161,5804,"-33.0620090","-71.3651750"
"7167",NA,12167,5601,"-33.5874090","-71.6107070"
"7168",NA,12171,5109,"-33.0127950","-71.5463380"
"7169",NA,12175,5101,"-33.0309450","-71.6533370"
"7170",NA,12177,5402,"-32.4306240","-71.0684160"
"7171",NA,12182,10301,"-40.5872480","-73.1779810"
"7172",NA,12183,10301,"-40.5892030","-73.1055160"
"7173",NA,12184,10101,"-41.4602630","-72.9655790"
"7174",NA,12185,14101,"-39.8438860","-73.2167050"
"7175",NA,12188,14204,"-40.6131290","-72.4070010"
"7176",NA,12191,10106,"-41.4264230","-73.5817820"
"7177",NA,12192,10203,"-42.6184780","-73.7746330"
"7178",NA,12193,10401,"-42.3784580","-72.7550700"
"7179",NA,12217,13120,"-33.4704210","-70.5796650"
"7180",NA,12221,13104,"-33.3970830","-70.6732700"
"7181",NA,12225,13115,"-33.3611540","-70.5054900"
"7182",NA,12226,13120,"-33.4559020","-70.5836400"
"7183",NA,12231,13118,"-33.4990300","-70.5949400"
"7184",NA,12234,13110,"-33.5372900","-70.5804060"
"7185",NA,12237,13201,"-33.6088520","-70.5716940"
"7186",NA,12241,13126,"-33.4267620","-70.7000120"
"7187",NA,12242,13124,"-33.4433810","-70.7571180"
"7188",NA,12243,13128,"-33.4108770","-70.7290030"
"7189",NA,12244,13201,"-33.5760560","-70.5663160"
"7190",NA,12249,13122,"-33.4699750","-70.5609100"
"7191",NA,12251,13105,"-33.5803470","-70.6696720"
"7192",NA,12255,13119,"-33.5570510","-70.7913400"
"7193",NA,12258,13605,"-33.6042250","-70.8844830"
"7194",NA,12260,13101,"-33.4509530","-70.6314810"
"7195",NA,12265,13114,"-33.3703420","-70.5053120"
"7196",NA,12266,13114,"-33.4132800","-70.5595260"
"7197",NA,12272,13119,"-33.5213600","-70.7740800"
"7198",NA,12273,13128,"-33.4114380","-70.7299350"
"7199",NA,12294,5109,"-33.0174700","-71.5439260"
"7200",NA,12295,5501,"-32.8795720","-71.2430500"
"7201",NA,12299,5401,"-32.3818690","-71.1211530"
"7202",NA,12301,5109,"-33.0275480","-71.5536570"
"7203",NA,12302,5109,"-33.0501090","-71.5388020"
"7204",NA,12305,5804,"-33.0440140","-71.3665970"
"7205",NA,12307,5804,"-33.0459170","-71.3643440"
"7206",NA,12309,5701,"-32.7549810","-70.7071540"
"7207",NA,12310,5101,"-33.0608630","-71.5912900"
"7208",NA,12311,5101,"-33.0438530","-71.6203740"
"7209",NA,12312,5109,"-32.9990390","-71.4808930"
"7210",NA,12314,5803,"-32.9953720","-71.1818260"
"7211",NA,12323,5109,"-33.0216230","-71.5046850"
"7212",NA,12328,5801,"-33.0479340","-71.4018920"
"7213",NA,12330,5109,"-33.0235800","-71.5069810"
"7214",NA,12332,5103,"-32.9281020","-71.5162690"
