"Nombres","Latitud","Longitud","Numero.Alumnos"
"ESCUELA PARTICULAR EL CRUCERO","-38.7129020","-72.7048820",99
"ESCUELA PARTICULAR DOCTOR MUHAJIR","-38.7301250","-72.7592460",80
"ESCUELA BASICA PARTICULAR CINCO LAUREL","-38.6985440","-72.7111180",25
"COLEGIO DE LA SALLE","-38.7400810","-72.5873430",441
"COLEGIO BAUTISTA","-38.7396860","-72.6014260",925
"COLEGIO ALEMAN","-38.7368410","-72.6149850",892
"COLEGIO CENTENARIO","-38.7420900","-72.6098960",799
"COLEGIO SANTA CRUZ","-38.7400450","-72.5713550",983
"COLEGIO METODISTA","-38.7396020","-72.5882970",608
"ESCUELA LLOLLETUE","-38.7051010","-72.6946730",28
"COLEGIO LATINOAMERICANO","-38.7353700","-72.5636630",108
"CENTRO DE EDUCACIÓN DE ADULTOS LA HAYA","-38.7555470","-72.6164290",74
"ESC. ESPECIAL RETARDO MENTAL CLARET","-38.7387500","-72.5826200",189
"GREEN HOUSE SCHOOL","-38.7408400","-72.6352430",12
"ESCUELA NRO 15  AMI","-38.7444920","-72.5813960",135
"ESCUELA ESPECIAL RETARDO MENTAL","-38.7472150","-72.6078700",855
"ESCUELA PARTICULAR ALFA Y OMEGA","-38.7288180","-72.6261140",247
"COLEGIO JUAN XXIII","-38.7367440","-72.5929700",37
"COLEGIO ANTUMALEN","-38.7324210","-72.5900850",158
"CENTRO EDUCACIONAL ESPECIAL INCLUSIVO SAN CRISTOBAL","-38.7373920","-72.6257800",106
"ESCUELA ESPECIAL HABLAARTE","-38.7289730","-72.5659100",76
"COMPLEJO EDUCACIONAL LA FRONTERA","-38.7063920","-72.6394910",35
"COLEGIO NUEVA CONCEPCION","-38.7346420","-72.6200710",109
"ESCUELA BASICA PARTICULAR EMPRENDER","-38.7597410","-72.6384600",896
"ESCUELA DE LA COMUNICACION ICALMA","-38.7199500","-72.6106500",366
"ESCUELA ESPECIAL NTRA.SENORA DEL PILAR","-38.7414970","-72.5861360",940
"CENTRO DE EDUC. ADULTOS PAULO FREIRE","-38.7375680","-72.5848100",31
"ESCUELA PARTICULAR KIMELTUN","-38.6602910","-72.7375850",119
"COLEGIO DE APLICACION","-38.7138670","-72.6244980",15
"SUN FLOWER SCHOOL","-38.7643870","-72.7531650",303
"ESCUELA ARTISTICA ARMANDO DUFEY BLANC","-38.7423840","-72.6229000",18
"LICEO COMERCIAL DEL DESARROLLO","-38.7538030","-72.6258770",773
"CTRO.EDUC.ADULTOS T.P. EL SEMBRADOR","-38.7386780","-72.5879060",346
"CENTRO DE ESTUDIOS DE LAS COMUNICACIONES PARA EL TRABAJO","-38.7477070","-72.5872000",1016
"COLEGIO SCOLE CREARE","-38.7293600","-72.6220800",824
"CENTRO DE EDUC.I.ADUL.MIGUEL DE CERVANTES","-38.7348980","-72.5852050",503
"CENTRO DE ESTUDIOS Y CAPACITACION LIMITADA","-38.7439270","-72.5844960",31
"ESCUELA PART. DE ADULTOS GETSEMANI","-38.7441020","-72.5785140",877
"CENTRO EDUC.INTEGRAL ADULTOS FUTURO","-38.7371560","-72.5937400",295
"COLEGIO GOLDEN SCHOOL","-38.7225620","-72.6379150",98
"COLEGIO PUMAHUE","-38.7401880","-72.6510340",33
"COLEGIO BETANIA","-38.7232260","-72.5770000",179
"COLEGIO CONGREGACIÓN OLIVOS","-38.7301400","-72.5667300",266
"ESCUELA ESPECIAL HOSPITALARIA TEMUCO","-38.7391700","-72.5660200",658
"LICEO AMERICO VESPUCIO","-38.7562170","-72.6343210",245
"ESCUELA TRANI-TRANI","-38.7327270","-72.5851490",132
"ESCUELA GRACIA Y PAZ","-38.7332710","-72.5996170",20
